zip,city,county,state,pop,jobs
19114,Philadelphia,Philadelphia,PA,31668,435
60804,Cicero,Cook,IL,82383,435
19120,Philadelphia,Philadelphia,PA,74060,435
19144,Philadelphia,Philadelphia,PA,43884,435
19038,Glenside,Montgomery,PA,31415,435
98117,Seattle,King,WA,35645,435
22042,Falls Church,Fairfax,VI,35174,434
22205,Arlington,Arlington,VI,18982,434
60532,Lisle,Du Page,IL,27956,434
19145,Philadelphia,Philadelphia,PA,46052,434
19148,Philadelphia,Philadelphia,PA,52259,434
19082,Upper Darby,Delaware,PA,41741,434
19119,Philadelphia,Philadelphia,PA,28192,434
98107,Seattle,King,WA,27534,433
60707,Elmwood Park,Cook,IL,43093,433
60638,Chicago,Cook,IL,58669,433
75212,Dallas,Dallas,TX,26720,433
60187,Wheaton,Du Page,IL,29976,432
60005,Arlington Heights,Cook,IL,30079,432
75060,Irving,Dallas,TX,47764,432
22209,Arlington,Arlington,VI,13227,431
98031,Kent,King,WA,37850,431
60008,Rolling Meadows,Cook,IL,21663,431
19141,Philadelphia,Philadelphia,PA,34701,431
22203,Arlington,Arlington,VI,24309,430
22044,Falls Church,Fairfax,VI,13616,430
22213,Arlington,Arlington,VI,3713,430
19103,Philadelphia,Philadelphia,PA,24214,429
60644,Chicago,Cook,IL,46591,429
20817,Bethesda,Montgomery,MD,37315,428
19134,Philadelphia,Philadelphia,PA,62087,428
22201,Arlington,Arlington,VI,38541,427
19050,Lansdowne,Delaware,PA,27976,427
75201,Dallas,Dallas,TX,17476,427
07732,Highlands,Monmouth,NJ,4868,427
19142,Philadelphia,Philadelphia,PA,29078,426
19072,Narberth,Montgomery,PA,9802,426
22207,Arlington,Arlington,VI,33170,425
22204,Arlington,Arlington,VI,54617,425
75231,Dallas,Dallas,TX,40371,425
19004,Bala Cynwyd,Montgomery,PA,9524,425
22041,Falls Church,Fairfax,VI,28429,424
98105,Seattle,King,WA,50434,424
60173,Schaumburg,Cook,IL,12610,424
60465,Palos Hills,Cook,IL,17345,424
60634,Chicago,Cook,IL,75082,424
60623,Chicago,Cook,IL,81283,424
75093,Plano,Collin,TX,46788,424
19107,Philadelphia,Philadelphia,PA,14526,424
19066,Merion Station,Montgomery,PA,5662,424
